trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.99, 'e': 42.119689239345725}",25,18,-70.56561917485601,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 2}",1
156,False,"{'a': 0.99, 'e': 41.698492346952264}",20,0,-147.42623001483415,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
157,False,"{'a': 0.99, 'e': 41.28150742348274}",25,0,-177.11150136556577,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
158,False,"{'a': 0.99, 'e': 40.868692349247915}",20,0,-105.08396989304369,"{0: 12, 1: 1, 2: 3, 3: 4, 4: 0}",0
159,False,"{'a': 0.99, 'e': 40.46000542575543}",25,5,-157.07669276644066,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
160,False,"{'a': 0.99, 'e': 40.055405371497876}",35,0,-154.19271320832596,"{0: 22, 1: 4, 2: 6, 3: 1, 4: 2}",0
161,False,"{'a': 0.99, 'e': 39.6548513177829}",20,0,-72.02050135898979,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
162,False,"{'a': 0.99, 'e': 39.25830280460507}",30,0,-57.22789008845118,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
163,False,"{'a': 0.99, 'e': 38.86571977655902}",35,7,-179.19845731456812,"{0: 13, 1: 5, 2: 7, 3: 1, 4: 2}",1
164,False,"{'a': 0.99, 'e': 38.47706257879343}",25,0,-112.59890221660905,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
165,False,"{'a': 0.99, 'e': 38.09229195300549}",20,0,-91.65823480642628,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
166,False,"{'a': 0.99, 'e': 37.711369033475435}",25,0,-157.92472818167016,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
167,False,"{'a': 0.99, 'e': 37.33425534314068}",25,10,9.78778622986406,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.99, 'e': 36.960912789709276}",20,0,-85.03202414496843,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
169,False,"{'a': 0.99, 'e': 36.591303661812184}",20,0,-111.23769600949993,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
170,False,"{'a': 0.99, 'e': 36.22539062519406}",35,0,-212.02827567753553,"{0: 19, 1: 3, 2: 10, 3: 0, 4: 3}",0
171,False,"{'a': 0.99, 'e': 35.863136718942116}",25,0,-35.968336721901046,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
172,False,"{'a': 0.99, 'e': 35.50450535175269}",20,0,-70.76344235460071,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
173,False,"{'a': 0.99, 'e': 35.14946029823516}",20,0,-82.94669133685275,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.99, 'e': 34.79796569525281}",35,0,-199.9751595290006,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
175,False,"{'a': 0.99, 'e': 34.44998603830028}",20,0,-176.1962151194383,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
176,False,"{'a': 0.99, 'e': 34.10548617791728}",25,0,-213.25173784996298,"{0: 10, 1: 5, 2: 6, 3: 1, 4: 3}",0
177,False,"{'a': 0.99, 'e': 33.76443131613811}",20,0,-92.65224042279382,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
178,False,"{'a': 0.99, 'e': 33.426787002976724}",30,0,-126.579760445283,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
179,False,"{'a': 0.99, 'e': 33.092519132946954}",25,0,-173.68068371988514,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
180,False,"{'a': 0.99, 'e': 32.761593941617484}",20,0,-68.1099854632821,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
181,False,"{'a': 0.99, 'e': 32.43397800220131}",30,0,-107.03093845137856,"{0: 16, 1: 8, 2: 5, 3: 0, 4: 1}",0
182,False,"{'a': 0.99, 'e': 32.10963822217929}",35,0,-161.45925851754103,"{0: 18, 1: 8, 2: 7, 3: 0, 4: 2}",0
